
id,cylinders,displacement,horsepower,<weight,>acceleration,model,origin,>mpg,dom_score
70,8.0,9.0,9.0,4140.0,13.7,6.0,1.0,20.0,72
71,8.0,10.0,11.0,4165.0,11.4,6.0,1.0,20.0,55
72,8.0,11.0,11.0,4325.0,12.2,6.0,1.0,20.0,57
73,8.0,10.0,9.0,4054.0,14.3,6.0,1.0,20.0,85
74,8.0,9.0,10.0,3433.0,12.0,1.0,1.0,20.0,89
75,6.0,6.0,7.0,3439.0,15.5,2.0,1.0,20.0,106
76,6.0,7.0,6.0,3278.0,18.0,3.0,1.0,20.0,174
77,8.0,11.0,11.0,4278.0,9.5,3.0,1.0,20.0,32
78,6.0,7.0,6.0,3781.0,17.0,4.0,1.0,20.0,105
79,6.0,8.0,7.0,3632.0,18.0,4.0,1.0,20.0,142
80,8.0,8.0,9.0,4141.0,14.0,4.0,1.0,20.0,79
81,8.0,11.0,11.0,4668.0,11.5,5.0,1.0,20.0,34
82,8.0,9.0,10.0,4498.0,14.5,5.0,1.0,20.0,66
83,6.0,7.0,7.0,3897.0,18.5,5.0,1.0,20.0,123
84,8.0,9.0,10.0,4190.0,13.0,6.0,1.0,20.0,65
85,8.0,11.0,11.0,4220.0,11.1,6.0,1.0,20.0,49
86,8.0,10.0,10.0,4335.0,14.5,6.0,1.0,20.0,69
87,6.0,5.0,9.0,3410.0,15.8,6.0,2.0,20.0,114
88,6.0,5.0,8.0,3820.0,16.7,6.0,2.0,20.0,99
89,8.0,10.0,11.0,4380.0,12.1,6.0,1.0,20.0,53
90,8.0,10.0,9.0,3955.0,13.2,6.0,1.0,20.0,80
91,8.0,10.0,10.0,4360.0,14.9,6.0,1.0,20.0,76
92,8.0,8.0,9.0,3449.0,10.5,1.0,1.0,20.0,75
93,6.0,7.0,6.0,3329.0,15.5,2.0,1.0,20.0,117
94,8.0,9.0,10.0,3672.0,11.5,2.0,1.0,20.0,73
95,6.0,7.0,7.0,3907.0,21.0,5.0,1.0,20.0,177
96,8.0,8.0,7.0,4060.0,19.0,6.0,1.0,20.0,118
97,6.0,5.0,8.0,3140.0,13.6,6.0,2.0,20.0,101
98,8.0,9.0,8.0,3840.0,15.4,6.0,1.0,20.0,96
99,8.0,9.0,9.0,4215.0,13.0,6.0,1.0,20.0,63
100,6.0,8.0,6.0,3193.0,17.8,6.0,1.0,20.0,182
101,8.0,9.0,9.0,3880.0,12.5,6.0,1.0,20.0,74
102,6.0,7.0,7.0,3520.0,16.4,6.0,1.0,20.0,116
103,8.0,9.0,9.0,4080.0,13.7,6.0,1.0,20.0,78
104,8.0,8.0,8.0,3725.0,13.4,6.0,1.0,20.0,90
105,6.0,6.0,4.0,3465.0,16.6,7.0,1.0,20.0,126
106,6.0,7.0,11.0,3445.0,13.4,6.0,1.0,20.0,95
107,8.0,9.0,8.0,3504.0,12.0,1.0,1.0,20.0,87
108,8.0,9.0,10.0,3436.0,11.0,1.0,1.0,20.0,83
109,6.0,6.0,6.0,2774.0,15.5,1.0,1.0,20.0,172
110,6.0,7.0,6.0,3288.0,15.5,2.0,1.0,20.0,121
111,6.0,8.0,7.0,2962.0,13.5,2.0,1.0,20.0,109
112,6.0,7.0,5.0,3139.0,14.5,2.0,1.0,20.0,113
113,4.0,3.0,7.0,2933.0,14.5,2.0,2.0,20.0,136
114,6.0,6.0,7.0,3121.0,16.5,3.0,1.0,20.0,153
115,6.0,7.0,6.0,2945.0,16.0,3.0,1.0,20.0,162
116,6.0,7.0,5.0,3021.0,16.5,3.0,1.0,20.0,165
117,6.0,7.0,6.0,2789.0,15.0,3.0,1.0,20.0,157
118,3.0,1.0,5.0,2124.0,13.5,3.0,3.0,20.0,196
119,6.0,6.0,7.0,3613.0,16.5,4.0,1.0,20.0,107
120,6.0,7.0,7.0,3459.0,16.0,5.0,1.0,20.0,111
121,6.0,6.0,6.0,3785.0,19.0,5.0,1.0,20.0,144
122,6.0,5.0,6.0,2984.0,14.5,5.0,1.0,20.0,128
123,6.0,7.0,4.0,3574.0,21.0,6.0,1.0,20.0,204
124,6.0,8.0,8.0,3410.0,15.1,6.0,1.0,20.0,104
125,8.0,8.0,9.0,3205.0,11.2,6.0,1.0,20.0,92
126,8.0,9.0,9.0,3830.0,15.2,6.0,1.0,20.0,94
127,6.0,7.0,7.0,3645.0,16.2,6.0,1.0,20.0,103
128,6.0,7.0,6.0,3525.0,19.0,6.0,1.0,20.0,170
129,8.0,10.0,10.0,3940.0,13.0,6.0,1.0,20.0,77
130,6.0,6.0,7.0,3620.0,18.7,6.0,1.0,20.0,151
131,6.0,7.0,6.0,2634.0,13.0,2.0,1.0,20.0,133
132,6.0,7.0,5.0,3302.0,15.5,2.0,1.0,20.0,120
133,6.0,7.0,6.0,3282.0,15.0,2.0,1.0,20.0,108
134,3.0,1.0,6.0,2330.0,13.5,2.0,3.0,20.0,178
135,4.0,3.0,4.0,2310.0,18.5,3.0,1.0,20.0,247
136,4.0,3.0,7.0,2868.0,15.5,3.0,2.0,20.0,160
137,6.0,7.0,6.0,2901.0,16.0,4.0,1.0,20.0,169
138,6.0,6.0,6.0,3264.0,16.0,5.0,1.0,20.0,132
139,6.0,7.0,5.0,3211.0,17.0,5.0,1.0,20.0,156
140,4.0,3.0,5.0,3270.0,21.9,6.0,2.0,20.0,233
141,6.0,5.0,7.0,2930.0,15.5,6.0,3.0,20.0,152
142,6.0,6.0,6.0,3630.0,17.7,6.0,1.0,20.0,130
143,6.0,6.0,5.0,3381.0,18.7,7.0,1.0,20.0,183
144,6.0,7.0,7.0,3535.0,19.2,6.0,1.0,20.0,173
145,8.0,9.0,9.0,3425.0,13.2,6.0,1.0,20.0,93
146,8.0,8.0,8.0,3605.0,15.0,6.0,1.0,20.0,97
147,8.0,9.0,9.0,3735.0,13.2,6.0,1.0,20.0,88
148,6.0,7.0,5.0,3210.0,17.2,6.0,1.0,20.0,161
149,6.0,6.0,4.0,2990.0,18.2,6.0,1.0,20.0,203
150,8.0,8.0,7.0,3365.0,15.5,6.0,1.0,20.0,110
151,4.0,4.0,5.0,2408.0,19.5,2.0,1.0,20.0,258
152,4.0,2.0,5.0,2279.0,19.0,3.0,3.0,20.0,266
153,4.0,3.0,5.0,2582.0,14.0,3.0,2.0,20.0,155
154,6.0,5.0,8.0,2807.0,13.5,3.0,3.0,20.0,127
155,6.0,5.0,6.0,3102.0,16.5,4.0,1.0,20.0,158
156,8.0,8.0,7.0,3221.0,13.5,5.0,1.0,20.0,98
157,6.0,7.0,6.0,2914.0,16.0,5.0,1.0,20.0,166
158,6.0,6.0,6.0,3651.0,17.7,6.0,1.0,20.0,129
159,4.0,3.0,6.0,3150.0,15.7,6.0,2.0,20.0,141
160,8.0,8.0,9.0,3570.0,12.8,6.0,1.0,20.0,91
161,6.0,6.0,4.0,2965.0,15.8,6.0,1.0,20.0,154
162,6.0,7.0,5.0,3265.0,18.2,6.0,1.0,20.0,184
163,6.0,6.0,5.0,3060.0,17.1,7.0,1.0,20.0,180
164,5.0,3.0,7.0,2830.0,15.9,6.0,2.0,20.0,179
165,6.0,7.0,7.0,3425.0,16.9,6.0,1.0,20.0,138
166,6.0,6.0,6.0,3155.0,18.2,6.0,1.0,20.0,194
167,6.0,6.0,6.0,3430.0,17.2,6.0,1.0,20.0,143
168,6.0,7.0,7.0,3380.0,15.8,6.0,1.0,20.0,119
169,6.0,6.0,7.0,3360.0,16.6,6.0,1.0,20.0,139
170,6.0,6.0,4.0,3070.0,16.7,6.0,1.0,20.0,164
171,6.0,6.0,4.0,2587.0,16.0,1.0,1.0,20.0,201
172,6.0,6.0,5.0,2648.0,15.0,1.0,1.0,20.0,176
173,4.0,3.0,5.0,2226.0,16.5,2.0,1.0,20.0,226
174,4.0,3.0,5.0,2979.0,19.5,2.0,2.0,20.0,219
175,4.0,4.0,3.0,2401.0,19.5,3.0,1.0,20.0,261
176,6.0,5.0,7.0,2472.0,14.0,3.0,1.0,20.0,171
177,6.0,7.0,7.0,3039.0,15.0,5.0,1.0,20.0,135
178,4.0,4.0,6.0,2515.0,14.8,6.0,3.0,20.0,186
179,4.0,3.0,7.0,2600.0,12.8,6.0,2.0,20.0,131
180,3.0,1.0,7.0,2720.0,13.5,6.0,3.0,20.0,137
181,6.0,7.0,8.0,3245.0,15.4,6.0,1.0,20.0,124
182,4.0,3.0,8.0,2795.0,15.7,6.0,2.0,20.0,175
183,6.0,5.0,6.0,2833.0,15.5,1.0,1.0,20.0,163
184,4.0,4.0,3.0,2408.0,19.0,2.0,1.0,20.0,249
185,4.0,3.0,3.0,2511.0,18.0,2.0,2.0,20.0,228
186,4.0,3.0,5.0,2395.0,16.0,2.0,1.0,20.0,209
187,4.0,2.0,6.0,2379.0,16.5,3.0,3.0,20.0,215
188,4.0,3.0,6.0,2945.0,14.5,5.0,2.0,20.0,134
189,6.0,6.0,6.0,3233.0,15.4,6.0,1.0,20.0,125
190,6.0,7.0,7.0,3353.0,14.5,6.0,1.0,20.0,100
191,6.0,4.0,6.0,2815.0,14.5,6.0,3.0,20.0,146
192,6.0,7.0,7.0,2835.0,14.7,7.0,1.0,20.0,148
193,4.0,4.0,5.0,2890.0,17.3,6.0,1.0,20.0,199
194,6.0,7.0,7.0,3415.0,15.8,7.0,1.0,20.0,112
195,6.0,7.0,5.0,3085.0,17.6,6.0,1.0,20.0,187
196,4.0,3.0,5.0,2220.0,14.0,2.0,1.0,20.0,197
197,4.0,2.0,1.0,2254.0,23.5,2.0,2.0,20.0,343
198,4.0,3.0,6.0,2506.0,14.5,2.0,3.0,20.0,181
199,6.0,5.0,6.0,2904.0,16.0,3.0,1.0,20.0,167
200,4.0,4.0,4.0,2639.0,17.0,5.0,1.0,20.0,207
201,4.0,4.0,4.0,2592.0,18.5,5.0,1.0,20.0,231
202,4.0,3.0,6.0,2694.0,15.0,5.0,2.0,20.0,168
203,4.0,3.0,5.0,2957.0,17.0,5.0,2.0,20.0,188
204,8.0,10.0,8.0,3900.0,17.4,6.0,1.0,20.0,102
205,4.0,5.0,7.0,2745.0,16.7,6.0,1.0,20.0,200
206,6.0,5.0,7.0,2725.0,12.6,7.0,1.0,20.0,115
207,3.0,1.0,6.0,2420.0,12.5,7.0,3.0,20.0,145
208,4.0,4.0,4.0,2855.0,17.6,6.0,1.0,20.0,205
209,4.0,3.0,6.0,2405.0,14.9,6.0,3.0,20.0,198
210,8.0,8.0,5.0,3420.0,22.2,6.0,1.0,20.0,227
211,4.0,3.0,6.0,2372.0,15.0,1.0,3.0,20.0,202
212,4.0,2.0,5.0,2430.0,14.5,1.0,2.0,20.0,189
213,4.0,3.0,6.0,2278.0,15.5,2.0,3.0,20.0,210
214,4.0,3.0,3.0,2158.0,15.5,3.0,2.0,20.0,216
215,4.0,3.0,7.0,2660.0,14.0,3.0,2.0,20.0,150
216,4.0,2.0,3.0,2108.0,15.5,4.0,2.0,20.0,222
217,4.0,3.0,6.0,2489.0,15.0,4.0,3.0,20.0,193
218,4.0,4.0,6.0,2702.0,13.5,5.0,3.0,20.0,140
219,4.0,3.0,6.0,2545.0,17.0,5.0,3.0,20.0,213
220,6.0,6.0,4.0,3012.0,17.6,6.0,1.0,20.0,195
221,4.0,4.0,5.0,2865.0,16.4,7.0,1.0,20.0,185
222,6.0,4.0,8.0,2930.0,13.8,7.0,3.0,20.0,122
223,4.0,4.0,5.0,3003.0,20.1,7.0,1.0,20.0,225
224,4.0,2.0,1.0,2164.0,22.1,6.0,1.0,20.0,336
225,4.0,4.0,5.0,2740.0,16.0,6.0,1.0,20.0,190
226,4.0,3.0,5.0,2672.0,17.5,1.0,2.0,30.0,283
227,4.0,2.0,6.0,2375.0,17.5,1.0,2.0,30.0,311
228,4.0,3.0,6.0,2228.0,14.0,2.0,3.0,30.0,250
229,4.0,2.0,4.0,2126.0,17.0,2.0,1.0,30.0,326
230,4.0,4.0,3.0,2542.0,17.0,4.0,1.0,30.0,288
231,4.0,2.0,3.0,2223.0,16.5,5.0,2.0,30.0,301
232,4.0,3.0,8.0,2671.0,13.5,5.0,2.0,30.0,214
233,4.0,3.0,4.0,2220.0,16.9,6.0,2.0,30.0,315
234,4.0,4.0,5.0,2572.0,14.9,6.0,1.0,30.0,241
235,6.0,5.0,7.0,2945.0,16.4,7.0,1.0,30.0,238
236,4.0,4.0,5.0,2720.0,15.4,6.0,1.0,30.0,239
237,5.0,5.0,3.0,3530.0,20.1,6.0,2.0,30.0,246
238,6.0,5.0,8.0,2900.0,12.6,7.0,3.0,30.0,191
239,4.0,3.0,6.0,2300.0,15.5,6.0,1.0,30.0,276
240,4.0,4.0,5.0,2755.0,15.8,6.0,1.0,30.0,242
241,4.0,5.0,5.0,2620.0,14.4,7.0,1.0,30.0,230
242,4.0,2.0,1.0,1835.0,20.5,1.0,2.0,30.0,374
243,4.0,3.0,8.0,2234.0,12.5,1.0,2.0,30.0,229
244,4.0,2.0,3.0,1955.0,20.5,2.0,1.0,30.0,369
245,4.0,2.0,2.0,2189.0,18.0,2.0,2.0,30.0,335
246,4.0,2.0,1.0,1950.0,21.0,3.0,2.0,30.0,372
247,4.0,2.0,5.0,2265.0,15.5,3.0,2.0,30.0,281
248,4.0,3.0,4.0,2451.0,16.5,4.0,1.0,30.0,286
249,4.0,1.0,2.0,1963.0,15.5,4.0,2.0,30.0,310
250,4.0,2.0,4.0,2300.0,14.5,4.0,2.0,30.0,252
251,4.0,3.0,3.0,2246.0,14.0,4.0,2.0,30.0,248
252,4.0,2.0,5.0,2391.0,15.5,4.0,3.0,30.0,268
253,4.0,2.0,4.0,2255.0,17.7,6.0,1.0,30.0,328
254,4.0,2.0,3.0,2265.0,18.2,6.0,3.0,30.0,332
255,4.0,5.0,5.0,2585.0,14.5,7.0,1.0,30.0,234
256,4.0,4.0,5.0,2870.0,18.1,7.0,1.0,30.0,274
257,4.0,4.0,3.0,2565.0,13.6,6.0,1.0,30.0,223
258,4.0,4.0,4.0,2635.0,16.4,7.0,1.0,30.0,260
259,8.0,10.0,7.0,3725.0,19.0,7.0,1.0,30.0,221
260,6.0,5.0,8.0,2700.0,12.9,6.0,1.0,30.0,206
261,4.0,2.0,5.0,2130.0,14.5,1.0,3.0,30.0,270
262,4.0,2.0,5.0,2130.0,14.5,2.0,3.0,30.0,270
263,4.0,2.0,1.0,1834.0,19.0,2.0,2.0,30.0,364
264,4.0,2.0,5.0,2100.0,16.5,2.0,3.0,30.0,321
265,4.0,2.0,4.0,2202.0,15.3,6.0,2.0,30.0,285
266,4.0,3.0,5.0,2640.0,18.6,7.0,1.0,30.0,305
267,4.0,4.0,5.0,2735.0,18.0,7.0,1.0,30.0,289
268,4.0,4.0,5.0,2950.0,17.3,7.0,1.0,30.0,244
269,4.0,4.0,5.0,2790.0,15.6,7.0,1.0,30.0,236
270,4.0,3.0,6.0,2300.0,14.7,6.0,3.0,30.0,255
271,4.0,4.0,3.0,3190.0,24.8,6.0,2.0,30.0,356
272,4.0,4.0,4.0,2490.0,15.7,7.0,1.0,30.0,259
273,4.0,3.0,4.0,2670.0,15.0,6.0,1.0,30.0,235
274,4.0,4.0,6.0,2560.0,14.2,6.0,3.0,30.0,232
275,4.0,5.0,7.0,2800.0,14.4,7.0,1.0,30.0,218
276,4.0,4.0,5.0,2264.0,15.5,2.0,1.0,30.0,282
277,4.0,3.0,5.0,2123.0,14.0,2.0,2.0,30.0,264
278,4.0,2.0,5.0,2288.0,17.0,2.0,3.0,30.0,308
279,4.0,2.0,4.0,2164.0,15.0,2.0,1.0,30.0,280
280,4.0,2.0,3.0,2125.0,14.5,4.0,1.0,30.0,272
281,4.0,2.0,5.0,2464.0,15.5,6.0,2.0,30.0,256
282,4.0,2.0,3.0,2155.0,16.4,6.0,3.0,30.0,309
283,4.0,4.0,5.0,2678.0,16.5,7.0,1.0,30.0,254
284,4.0,3.0,5.0,2605.0,19.6,7.0,1.0,30.0,329
285,4.0,3.0,4.0,2625.0,18.6,7.0,1.0,30.0,307
286,4.0,4.0,4.0,3230.0,20.4,7.0,2.0,30.0,291
287,4.0,4.0,5.0,2670.0,16.0,6.0,1.0,30.0,245
288,6.0,5.0,8.0,2595.0,11.3,6.0,1.0,30.0,192
289,4.0,1.0,1.0,1867.0,19.5,3.0,2.0,30.0,366
290,4.0,2.0,4.0,2219.0,16.5,4.0,2.0,30.0,303
291,4.0,2.0,3.0,2171.0,16.0,5.0,3.0,30.0,298
292,4.0,2.0,3.0,1937.0,14.0,5.0,2.0,30.0,284
293,4.0,1.0,1.0,2035.0,22.2,6.0,1.0,30.0,378
294,4.0,2.0,3.0,1937.0,14.2,6.0,2.0,30.0,290
295,4.0,2.0,4.0,1940.0,14.5,6.0,2.0,30.0,292
296,4.0,4.0,4.0,2525.0,16.0,7.0,1.0,30.0,267
297,4.0,2.0,3.0,1825.0,12.2,6.0,2.0,30.0,251
298,4.0,2.0,2.0,2135.0,16.6,6.0,3.0,30.0,317
299,4.0,4.0,5.0,2711.0,15.5,7.0,3.0,30.0,240
300,4.0,2.0,2.0,1845.0,15.3,7.0,2.0,30.0,322
301,4.0,2.0,2.0,2380.0,20.7,7.0,1.0,30.0,352
302,4.0,1.0,3.0,2074.0,19.5,2.0,2.0,30.0,357
303,4.0,1.0,3.0,2065.0,14.5,2.0,2.0,30.0,279
304,4.0,3.0,4.0,2155.0,14.8,6.0,1.0,30.0,275
305,4.0,2.0,2.0,1985.0,16.4,6.0,3.0,30.0,327
306,4.0,2.0,2.0,2155.0,16.5,6.0,1.0,30.0,313
307,4.0,4.0,2.0,3250.0,21.8,7.0,2.0,30.0,314
308,4.0,4.0,4.0,2385.0,12.9,7.0,1.0,30.0,224
309,4.0,2.0,2.0,2051.0,17.0,6.0,1.0,30.0,330
310,4.0,2.0,4.0,2190.0,14.1,6.0,2.0,30.0,253
311,6.0,4.0,3.0,3160.0,19.6,7.0,2.0,30.0,277
312,4.0,2.0,3.0,2230.0,14.5,6.0,1.0,30.0,263
313,4.0,1.0,2.0,1773.0,19.0,2.0,3.0,30.0,365
314,4.0,1.0,2.0,1950.0,19.0,4.0,3.0,30.0,358
315,4.0,1.0,1.0,1649.0,16.5,4.0,3.0,30.0,344
316,4.0,1.0,2.0,2000.0,16.0,4.0,2.0,30.0,320
317,4.0,3.0,4.0,2575.0,16.2,7.0,1.0,30.0,265
318,4.0,2.0,2.0,1970.0,17.6,7.0,3.0,30.0,341
319,4.0,3.0,4.0,2720.0,19.4,7.0,1.0,30.0,318
320,4.0,3.0,3.0,2542.0,17.5,7.0,3.0,30.0,294
321,4.0,2.0,2.0,2045.0,18.5,6.0,3.0,30.0,347
322,4.0,2.0,3.0,1990.0,14.9,6.0,2.0,30.0,296
323,4.0,3.0,3.0,2635.0,18.3,7.0,3.0,30.0,299
324,4.0,1.0,2.0,2020.0,19.2,6.0,3.0,30.0,355
325,4.0,2.0,3.0,1925.0,14.0,6.0,2.0,30.0,287
326,4.0,1.0,2.0,1836.0,21.0,4.0,3.0,30.0,377
327,4.0,1.0,2.0,2003.0,19.0,4.0,3.0,30.0,353
328,4.0,1.0,3.0,1990.0,17.0,6.0,3.0,30.0,333
329,4.0,2.0,2.0,1965.0,15.7,7.0,3.0,30.0,316
330,4.0,4.0,6.0,2665.0,13.9,7.0,3.0,30.0,220
331,4.0,4.0,4.0,2295.0,11.6,7.0,1.0,30.0,212
332,4.0,2.0,3.0,2120.0,15.5,7.0,1.0,30.0,295
333,4.0,2.0,3.0,2265.0,15.2,7.0,3.0,30.0,273
334,4.0,2.0,2.0,2065.0,17.8,7.0,3.0,30.0,339
335,4.0,2.0,3.0,2290.0,17.0,7.0,3.0,30.0,306
336,4.0,2.0,3.0,2350.0,16.8,7.0,3.0,30.0,297
337,6.0,5.0,9.0,2910.0,11.4,7.0,3.0,30.0,159
338,4.0,1.0,1.0,1985.0,19.4,6.0,3.0,30.0,360
339,4.0,3.0,6.0,2615.0,14.8,7.0,3.0,30.0,237
340,4.0,2.0,1.0,1795.0,17.5,5.0,3.0,30.0,350
341,4.0,2.0,1.0,1795.0,17.4,6.0,3.0,30.0,349
342,4.0,2.0,3.0,2190.0,14.2,7.0,2.0,30.0,257
343,4.0,1.0,3.0,1945.0,16.8,6.0,3.0,30.0,334
344,4.0,2.0,4.0,2075.0,15.9,6.0,1.0,30.0,304
345,4.0,4.0,5.0,2556.0,13.2,6.0,1.0,30.0,217
346,4.0,2.0,3.0,2210.0,14.4,7.0,3.0,30.0,262
347,4.0,2.0,2.0,2145.0,18.0,7.0,3.0,30.0,338
348,4.0,3.0,5.0,2395.0,18.0,7.0,1.0,30.0,324
349,4.0,2.0,3.0,2245.0,16.9,7.0,3.0,30.0,312
350,4.0,1.0,2.0,1975.0,15.2,6.0,3.0,30.0,300
351,4.0,2.0,2.0,1985.0,16.0,7.0,3.0,30.0,323
352,4.0,2.0,3.0,2200.0,13.2,6.0,1.0,30.0,243
353,4.0,2.0,4.0,2188.0,15.8,7.0,2.0,30.0,293
354,4.0,2.0,2.0,2045.0,16.2,7.0,1.0,30.0,319
355,4.0,2.0,3.0,2150.0,14.9,6.0,1.0,30.0,278
356,4.0,2.0,2.0,2215.0,14.9,7.0,1.0,30.0,269
357,4.0,1.0,2.0,1613.0,18.0,2.0,3.0,40.0,386
358,4.0,3.0,5.0,2500.0,15.1,7.0,2.0,40.0,331
359,4.0,1.0,1.0,1760.0,16.1,7.0,3.0,40.0,375
360,4.0,2.0,4.0,1915.0,14.4,6.0,1.0,40.0,354
361,4.0,1.0,1.0,1825.0,18.6,6.0,2.0,40.0,384
362,4.0,2.0,3.0,1980.0,15.3,7.0,2.0,40.0,363
363,4.0,2.0,3.0,2125.0,17.3,7.0,1.0,40.0,370
364,4.0,3.0,5.0,2160.0,14.5,7.0,3.0,40.0,342
365,4.0,2.0,3.0,2205.0,14.5,7.0,3.0,40.0,340
366,4.0,4.0,4.0,2370.0,13.0,7.0,1.0,40.0,302
367,4.0,2.0,2.0,1800.0,14.4,6.0,1.0,40.0,361
368,4.0,2.0,1.0,1800.0,16.4,6.0,3.0,40.0,376
369,5.0,3.0,2.0,2950.0,19.9,7.0,2.0,40.0,362
370,4.0,3.0,5.0,2434.0,15.0,7.0,3.0,40.0,337
371,4.0,1.0,2.0,1975.0,19.4,7.0,3.0,40.0,385
372,4.0,2.0,2.0,2025.0,18.2,7.0,3.0,40.0,380
373,4.0,1.0,2.0,2019.0,16.4,7.0,3.0,40.0,368
374,4.0,2.0,2.0,2130.0,14.7,6.0,2.0,40.0,346
375,4.0,2.0,2.0,2050.0,17.3,7.0,3.0,40.0,373
